Volts, Amps, Watts, Ohms
9.995915,12.894702,128.894343,0.775195
10.522015,10.341692,108.815444,1.017437
10.706151,7.788852,83.388622,1.374548
10.890286,5.236012,57.021663,2.079882
11.021811,4.038849,44.515429,2.728949
11.100733,3.356207,37.256361,3.307523
11.179654,2.673566,29.889542,4.181552
11.258556,1.991071,22.416580,5.654524
11.311166,1.597267,18.066954,7.081575
11.363777,1.296931,14.738035,8.762051
11.416387,0.996588,11.377432,11.455474
11.468997,0.696245,7.985227,16.472654
11.521607,0.485166,5.589891,23.747765
11.574217,0.327645,3.792229,35.325531
11.639979,0.200052,2.328603,58.184715
11.705742,0.072460,0.848196,161.547982
11.739373,0.000000,0.000000,99999999.000000
